,id_consommation,annee_consommation,surface_declaree,nombre_declaration,consommation_declaree,densite_energetique,coordonnees_gps,consommation_log,consommation_etat,id_zone_climatique,id_vecteur_energie,id_commune,nom_commune,id_departement,nom_departement,id_region,nom_region,zone_climatique,vecteur_energie
49,50,Année de référence,4290,4,510425,118.98018648018648,"(49.1664802, 5.8564321)",13.14300095015417,Normale,4,1,50,CONFLANS EN JARNISY,22,Meurthe-et-Moselle,6,Grand-Est,H1b,Electricite
50,51,Année de référence,8226,3,1023879,124.46863603209336,"(49.1693945, 6.1896756)",13.839109890214598,Normale,4,1,51,LA MAXE,23,Moselle,6,Grand-Est,H1b,Electricite
51,52,Année de référence,8581,3,1856811,216.3863186108845,"(49.11616065, 6.296214757128745)",14.434371596653062,Normale,4,2,52,OGY MONTOY FLANVILLE,23,Moselle,6,Grand-Est,H1b,Inconnu
52,53,Année de référence,3029,3,250442,82.68141300759326,"(48.7448986, 7.0977176)",12.430986628704606,Normale,4,1,53,REDING,23,Moselle,6,Grand-Est,H1b,Electricite
53,54,Année de référence,10676,3,3137290,293.8638066691645,"(48.5281292, 7.5894588)",14.95887024665758,Normale,4,1,54,DUPPIGHEIM,24,Bas-Rhin,6,Grand-Est,H1b,Electricite
54,55,Année de référence,2065,3,94462,45.74430992736077,"(48.6231002, 7.7008489)",11.455963502420696,Normale,4,1,55,NIEDERHAUSBERGEN,24,Bas-Rhin,6,Grand-Est,H1b,Electricite
55,56,Année de référence,8025,29,1752917,218.4320249221184,"(48.8440817, 8.0545977)",14.376792385855502,Normale,4,1,56,ROPPENHEIM,24,Bas-Rhin,6,Grand-Est,H1b,Electricite
56,57,Année de référence,4664,3,571475,122.52894511149228,"(48.1261389, 7.2825373)",13.25597776658454,Normale,4,3,57,AMMERSCHWIHR,25,Haut-Rhin,6,Grand-Est,H1b,Gaz
57,58,Année de référence,143008,12,3919295,27.40612413291564,"(48.8841522, 2.2368863)",15.181422603801366,Normale,5,1,46,PUTEAUX,19,Hauts-de-Seine,3,Île-de-France,H1c,Electricite
58,59,Année de référence,31477,6,8944867,284.17152206372907,"(47.2660906, 5.0089521)",16.00659051796867,Normale,5,2,58,PERRIGNY LES DIJON,26,Côte-dOr,10,Bourgogne-Franche-Comté,H1c,Inconnu
59,60,Année de référence,7732,3,1442655,186.5823848939472,"(47.3232842, 5.971252)",14.18199641709767,Normale,5,2,59,GENEUILLE,27,Doubs,10,Bourgogne-Franche-Comté,H1c,Inconnu
60,61,Année de référence,14296,4,918137,64.22334918858422,"(46.7988877, 4.763594)",13.730102985102072,Normale,5,1,60,DRACY LE FORT,28,Saône-et-Loire,10,Bourgogne-Franche-Comté,H1c,Electricite
61,62,Année de référence,5688,3,1089758,191.5889592123769,"(46.8341, 4.80583)",13.901467128841484,Normale,5,2,61,FARGES LES CHALON,28,Saône-et-Loire,10,Bourgogne-Franche-Comté,H1c,Inconnu
62,63,Année de référence,21188,4,815779,38.501935057579765,"(48.5141134, -2.7603283)",13.61189998975238,Normale,5,1,62,SAINT BRIEUC,29,Côtes-d'Armor,7,Bretagne,H1c,Electricite
63,64,Année de référence,13072,3,1178850,90.1813035495716,"(46.176149, 2.4870429)",13.980050793246416,Normale,5,1,63,EVAUX LES BAINS,30,Creuse,11,Nouvelle-Aquitaine,H1c,Electricite
64,65,Année de référence,2802,3,701301,250.28586723768737,"(45.1292139, 1.3018796)",13.460693886367508,Normale,5,2,64,TERRASSON LAVILLEDIEU,31,Dordogne,11,Nouvelle-Aquitaine,H1c,Inconnu
65,66,Année de référence,8308,3,177951,21.419234472797303,"(44.8791708, -0.5216683)",12.08926912998729,Normale,5,1,65,LORMONT,32,Gironde,11,Nouvelle-Aquitaine,H1c,Electricite
66,67,Année de référence,4805,3,554038,115.3044745057232,"(46.0096593, 1.1750992)",13.224990360363574,Normale,5,2,66,NANTIAT,33,Haute-Vienne,11,Nouvelle-Aquitaine,H1c,Inconnu
67,68,Année de référence,910,3,169829,186.62527472527472,"(46.3181739, 1.3674373)",12.042553215698817,Normale,5,4,67,SAINT SULPICE LES FEUILLES,33,Haute-Vienne,11,Nouvelle-Aquitaine,H1c,Fioul
68,69,Année de référence,5358,4,628450,117.29189996267264,"(45.0600807, 3.0621933)",13.351013340568205,Normale,5,1,68,ANDELAT,34,Cantal,9,Auvergne-Rhône-Alpes,H1c,Electricite
69,70,Année de référence,6573,3,2089589,317.90491404229425,"(45.7241948, 5.2474523)",14.552478432447897,Normale,5,2,69,CREMIEU,35,Isère,9,Auvergne-Rhône-Alpes,H1c,Inconnu
70,71,Année de référence,7058,3,1701767,241.11178804193824,"(44.9180779, 5.7814435)",14.347178268601107,Normale,5,2,70,SUSVILLE,35,Isère,9,Auvergne-Rhône-Alpes,H1c,Inconnu
71,72,Année de référence,5670,3,1668389,294.2485008818342,"(45.5892481, 2.7401614)",14.32736964752048,Normale,5,2,71,LA BOURBOULE,36,Puy-de-Dôme,9,Auvergne-Rhône-Alpes,H1c,Inconnu
72,73,Année de référence,13365,9,3401591,254.51485222596327,"(45.4562, 6.59111)",15.039754115292569,Normale,5,1,72,MONTAGNY,18,Rhône,9,Auvergne-Rhône-Alpes,H1c,Electricite
73,74,Année de référence,2710,5,204105,75.31549815498155,"(45.5531763, 5.743894)",12.22639474572008,Normale,5,1,73,DULLIN,37,Savoie,9,Auvergne-Rhône-Alpes,H1c,Electricite
74,75,Année de référence,5893,3,2428172,412.0434413711183,"(45.5951342, 5.7704482)",14.702649680682526,Normale,5,2,74,NOVALAISE,37,Savoie,9,Auvergne-Rhône-Alpes,H1c,Inconnu
75,76,Année de référence,2794,3,807544,289.0279169649248,"(45.6483, 6.44049)",13.601754060080406,Normale,5,1,75,TOURS EN SAVOIE,37,Savoie,9,Auvergne-Rhône-Alpes,H1c,Electricite
76,77,Année de référence,9948,3,2464863,247.77472858866105,"(46.167254, 6.3216563)",14.71764719152308,Normale,5,2,76,BONNE,38,Haute-Savoie,9,Auvergne-Rhône-Alpes,H1c,Inconnu
77,78,Année de référence,4643,3,910957,196.2000861511953,"(45.9126189, 6.6490124)",13.722252071995996,Normale,5,1,77,DOMANCY,38,Haute-Savoie,9,Auvergne-Rhône-Alpes,H1c,Electricite
78,79,Année de référence,5149,3,349794,67.93435618566711,"(46.2357361, 6.3213839)",12.76510254758226,Normale,5,1,78,SAINT CERGUES,38,Haute-Savoie,9,Auvergne-Rhône-Alpes,H1c,Electricite
79,80,Année de référence,5819,3,428399,73.62072521051726,"(44.4254815, 6.0074686)",12.967812617555731,Normale,5,1,79,LA SAULCE,39,Hautes-Alpes,12,Provence-Alpes-Côte d'Azur,H1c,Electricite
80,81,Année de référence,5601,3,2000855,357.2317443313694,"(44.5349009, 5.8244718)",14.509085646958344,Normale,5,2,80,VEYNES,39,Hautes-Alpes,12,Provence-Alpes-Côte d'Azur,H1c,Inconnu
81,82,Année de référence,553,3,40546,73.32007233273056,"(43.3113852, 5.3789412)",10.61021707406934,Normale,5,1,81,MARSEILLE 03,40,Bouches-du-Rhône,12,Provence-Alpes-Côte d'Azur,H1c,Electricite
82,83,Année de référence,9031,5,1688029,186.9149595836563,"(49.3815306, -1.7528273)",14.339072726491958,Normale,6,1,82,BARNEVILLE CARTERET,41,Manche,4,Normandie,H2a,Electricite
83,84,Année de référence,1119,4,76015,67.93118856121536,"(49.686996, -1.441599)",11.238699123426702,Normale,6,1,83,FERMANVILLE,41,Manche,4,Normandie,H2a,Electricite
84,85,Année de référence,1891,4,104628,55.329455314648335,"(48.9651647, -1.4778276709921987)",11.558176038841127,Normale,6,2,84,QUETTREVILLE SUR SIENNE,41,Manche,4,Normandie,H2a,Inconnu
85,86,Année de référence,15805,6,1651616,104.49958873774122,"(49.5737038, -1.6256545)",14.317265365990265,Normale,6,1,85,TOLLEVAST,41,Manche,4,Normandie,H2a,Electricite
86,87,Année de référence,1165,4,127157,109.14763948497854,"(49.5314276, -1.812071)",11.75318568668463,Normale,6,1,86,TREAUVILLE,41,Manche,4,Normandie,H2a,Electricite
87,88,Année de référence,7071,3,407966,57.69565832272663,"(48.8469864, -1.5574109)",12.918941567762204,Normale,6,1,87,YQUELON,41,Manche,4,Normandie,H2a,Electricite
88,89,Année de référence,21413,5,3738700,174.5995423340961,"(48.42374, -2.4479)",15.13424878285579,Normale,6,1,88,PLESTAN,29,Côtes-d'Armor,7,Bretagne,H2a,Electricite
89,90,Année de référence,14352,3,2764458,192.6183110367893,"(48.6612675, -4.1039679)",14.832355513758484,Normale,6,1,89,CLEDER,42,Finistère,7,Bretagne,H2a,Electricite
90,91,Année de référence,5375,3,194203,36.13079069767442,"(48.474324, -4.638987)",12.176664431949588,Normale,6,1,90,LANRIVOARE,42,Finistère,7,Bretagne,H2a,Electricite
91,92,Année de référence,9654,6,688746,71.3430702299565,"(47.9805233, -4.1785594)",13.442629283722896,Normale,6,1,91,PLUGUFFAN,42,Finistère,7,Bretagne,H2a,Electricite
92,93,Année de référence,15763,5,590324,37.4499777961048,"(47.9367647, -4.0217135)",13.28842851167876,Normale,6,1,92,SAINT EVARZEC,42,Finistère,7,Bretagne,H2a,Electricite
93,94,Année de référence,2696,3,1579273,585.7837537091988,"(48.8534951, 2.3483915)",14.272475805732697,Anormale,7,2,93,PARIS 08,43,Paris,3,Île-de-France,H2b,Inconnu
94,95,Année de référence,130929,12,2828800,21.60560303676038,"(48.8841522, 2.2368863)",14.855363504932184,Normale,7,1,46,PUTEAUX,19,Hauts-de-Seine,3,Île-de-France,H2b,Electricite
95,96,Année de référence,7625,3,1302224,170.78347540983606,"(47.0097064, 2.2948268)",14.079584897880448,Normale,7,1,94,LE SUBDRAY,44,Cher,13,Centre-Val de Loire,H2b,Electricite
96,97,Année de référence,10812,3,3006114,278.03496115427305,"(47.3306906, 2.8390454)",14.916159105382976,Normale,7,2,95,SANCERRE,44,Cher,13,Centre-Val de Loire,H2b,Inconnu
97,98,Année de référence,5302,3,226166,42.65673330818559,"(46.7852983, 0.8699479)",12.329028943427216,Normale,7,1,96,YZEURES SUR CREUSE,45,Indre-et-Loire,13,Centre-Val de Loire,H2b,Electricite
98,99,Année de référence,11624,7,576363,49.58387818306951,"(42.8767279, 0.6100228)",13.264494684529666,Normale,7,1,97,LEGE,46,Loire-Atlantique,14,Pays de la Loire,H2b,Electricite
99,100,Année de référence,4086,6,263430,64.47136563876651,"(47.4484305, -1.3485691)",12.481546753089804,Normale,7,1,98,MOUZEIL,46,Loire-Atlantique,14,Pays de la Loire,H2b,Electricite
100,101,Année de référence,4997,3,679219,135.9253552131279,"(48.4123473, -0.8129799)",13.428700359953275,Normale,7,1,99,GORRON,47,Mayenne,14,Pays de la Loire,H2b,Electricite
101,102,Année de référence,25633,3,4366623,170.35161705613856,"(47.8286006, 0.2733338)",15.289500728463167,Normale,7,2,100,ECOMMOY,48,Sarthe,14,Pays de la Loire,H2b,Inconnu
102,103,Année de référence,19246,5,3665931,190.4775537774083,"(48.140451, 0.1700029)",15.114593158382696,Normale,7,2,101,SAINTE JAMME SUR SARTHE,48,Sarthe,14,Pays de la Loire,H2b,Inconnu
103,104,Année de référence,9693,5,782703,80.74930362116991,"(48.0272503, 0.1115402)",13.570509870294757,Normale,7,1,102,TRANGE,48,Sarthe,14,Pays de la Loire,H2b,Electricite
104,105,Année de référence,4436,3,604843,136.34873760144274,"(46.7612887, -1.8397386)",13.312725852523965,Normale,7,1,103,COMMEQUIERS,49,Vendée,14,Pays de la Loire,H2b,Electricite
105,106,Année de référence,3409,6,106024,31.101202698738632,"(46.88145, -1.7025043)",11.571430194342792,Normale,7,1,104,FALLERON,49,Vendée,14,Pays de la Loire,H2b,Electricite
106,107,Année de référence,1832,7,189696,103.54585152838428,"(46.8216667, -1.6488889)",12.153183341354197,Normale,7,1,105,GRAND LANDES,49,Vendée,14,Pays de la Loire,H2b,Electricite
107,108,Année de référence,10407,4,1329391,127.74007879312002,"(46.71018105, -2.34917690050466)",14.100232252819142,Normale,7,1,106,L ILE D YEU,49,Vendée,14,Pays de la Loire,H2b,Electricite
108,109,Année de référence,3878,5,222143,57.28287777204745,"(45.2201951, -0.0270315)",12.311081099221456,Normale,7,1,107,LA GENETOUZE,49,Vendée,14,Pays de la Loire,H2b,Electricite
109,110,Année de référence,13635,4,3485232,255.6092409240924,"(46.7591667, -0.9558333)",15.064045457904564,Normale,7,2,108,SAINT PROUANT,49,Vendée,14,Pays de la Loire,H2b,Inconnu
110,111,Année de référence,1883,6,99395,52.7854487519915,"(48.1197799, -1.6038829)",11.506867150386263,Normale,7,1,42,CESSON SEVIGNE,15,Ille-et-Vilaine,7,Bretagne,H2b,Electricite
111,112,Année de référence,2603,3,679261,260.9531310026892,"(49.1000965, 6.2973783)",13.428762193676524,Normale,7,2,109,MARSILLY,50,Charente-Maritime,11,Nouvelle-Aquitaine,H2b,Inconnu
112,113,Année de référence,14975,3,1714011,114.45816360601002,"(46.188253, -1.0157986)",14.354347379282215,Normale,7,1,110,SAINTE SOULLE,50,Charente-Maritime,11,Nouvelle-Aquitaine,H2b,Electricite
113,114,Année de référence,2660,5,244640,91.96992481203009,"(46.3221639, -0.2954875)",12.407547108793514,Normale,7,1,111,FRESSINES,51,Deux-Sèvres,11,Nouvelle-Aquitaine,H2b,Electricite
114,115,Année de référence,11292,4,2230129,197.49636911087492,"(46.12234225, 0.10545236330471891)",14.617570437701284,Normale,7,2,112,SAUZE VAUSSAIS,51,Deux-Sèvres,11,Nouvelle-Aquitaine,H2b,Inconnu
115,116,Année de référence,1718,3,169074,98.41327124563446,"(46.6815502, 0.5695724)",12.03809768244314,Normale,7,1,113,BONNEUIL MATOURS,52,Vienne,11,Nouvelle-Aquitaine,H2b,Electricite
116,117,Année de référence,547816,41,14367910,26.227620222848547,"(48.8841522, 2.2368863)",16.48050787518422,Normale,8,1,46,PUTEAUX,19,Hauts-de-Seine,3,Île-de-France,H2c,Electricite
117,118,Année de référence,4043,3,576150,142.50556517437548,"(45.1287746, 1.2273602)",13.26412505809977,Normale,8,2,114,LE LARDIN SAINT LAZARE,31,Dordogne,11,Nouvelle-Aquitaine,H2c,Inconnu
118,119,Année de référence,1156,3,56195,48.61159169550173,"(44.6065561, -0.5533846)",10.93660085897154,Normale,8,1,115,CABANAC ET VILLAGRAINS,32,Gironde,11,Nouvelle-Aquitaine,H2c,Electricite
119,120,Année de référence,2781,7,43633,15.68967997123337,"(44.9706388, -0.1398679)",10.683591941951969,Normale,8,1,116,LES ARTIGUES DE LUSSAC,32,Gironde,11,Nouvelle-Aquitaine,H2c,Electricite
120,121,Année de référence,5995,3,691588,115.36080066722268,"(45.0816918, -0.4956194)",13.4467471275173,Normale,8,1,117,PUGNAC,32,Gironde,11,Nouvelle-Aquitaine,H2c,Electricite
121,122,Année de référence,7800,3,502874,64.47102564102565,"(48.6981206, -1.3080672)",13.12809690925209,Normale,8,1,118,SAINT BRICE,32,Gironde,11,Nouvelle-Aquitaine,H2c,Electricite
122,123,Année de référence,9107,3,686626,75.39541012408037,"(43.8489264, -1.3566675)",13.439546483438786,Normale,8,1,119,MOLIETS ET MAA,53,Landes,11,Nouvelle-Aquitaine,H2c,Electricite
123,124,Année de référence,2610,3,269144,103.12030651340996,"(44.3080279, -0.7777106)",12.503005546814876,Normale,8,1,120,PISSOS,53,Landes,11,Nouvelle-Aquitaine,H2c,Electricite
124,125,Année de référence,8567,3,322388,37.63137621104237,"(44.4733753, 0.9400621)",12.68351416992584,Normale,8,2,121,SAINT VITE,54,Lot-et-Garonne,11,Nouvelle-Aquitaine,H2c,Inconnu
125,126,Année de référence,4194,6,418192,99.71196948020982,"(43.4831925, -1.3902495)",12.943698327433903,Normale,8,1,122,LAHONCE,55,Pyrénées-Atlantiques,11,Nouvelle-Aquitaine,H2c,Electricite
126,127,Année de référence,3854,3,126893,32.92501297353399,"(43.367242, -0.5887876)",11.751107371260805,Normale,8,1,123,PARDIES,55,Pyrénées-Atlantiques,11,Nouvelle-Aquitaine,H2c,Electricite
127,128,Année de référence,13085,3,1909128,145.90202521971725,"(43.0794025, 1.6514261)",14.462157675071232,Normale,8,1,124,VERNIOLLE,56,Ariège,8,Occitanie,H2c,Electricite
128,129,Année de référence,2016,5,224430,111.32440476190476,"(43.5415799, 1.5664791)",12.321323589256933,Normale,8,1,125,AUZIELLE,17,Haute-Garonne,8,Occitanie,H2c,Electricite
129,130,Année de référence,1356,4,71550,52.76548672566372,"(43.4568086, 1.522606)",11.17816576112732,Normale,8,1,126,MONTBRUN LAURAGAIS,17,Haute-Garonne,8,Occitanie,H2c,Electricite
130,131,Année de référence,11860,4,1856838,156.56306913996627,"(43.4580362, 1.5744528)",14.434386137599423,Normale,8,1,127,MONTGISCARD,17,Haute-Garonne,8,Occitanie,H2c,Electricite
131,132,Année de référence,5916,3,674762,114.05713319810684,"(44.5808234, 2.0696065)",13.422116797089618,Normale,8,1,128,CAPDENAC,57,Lot,8,Occitanie,H2c,Electricite
132,133,Année de référence,7060,5,357635,50.65651558073655,"(43.1964736, 0.1176276)",12.787270988355436,Normale,8,1,129,BARBAZAN DEBAT,58,Hautes-Pyrénées,8,Occitanie,H2c,Electricite
133,134,Année de référence,16206,5,2788528,172.06762927310874,"(43.5545042, 2.1148775)",14.84102477461422,Normale,8,1,130,SOUAL,59,Tarn,8,Occitanie,H2c,Electricite
134,135,Année de référence,2510,9,239299,95.3382470119522,"(44.7096, 5.09138)",12.385473273896464,Normale,9,1,131,MIRABEL ET BLACONS,60,Drôme,9,Auvergne-Rhône-Alpes,H2d,Electricite
