annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,vecteur_energie,consommation_declaree
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 15,Reseau de froid,925437
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Electricite,188873624
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Fioul,998515
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Gaz,49446035
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Reseau de chaleur,40951834
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 16,Reseau de froid,3397481
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 17,Electricite,190111629
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 17,Fioul,1674990
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 17,Gaz,57374450
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 17,Reseau de chaleur,30334453
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 17,Reseau de froid,2588399
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 18,Electricite,99729853
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 18,Gaz,41392993
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 18,Reseau de chaleur,31233660
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 19,Electricite,130723860
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 19,Fioul,1998775
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 19,Gaz,40501995
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 19,Reseau de chaleur,45663178
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 19,Reseau de froid,2246219
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 20,Electricite,85198257
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 20,Gaz,45874328
Année de référence,H1a,11,Île-de-France,75,Paris,PARIS 20,Reseau de chaleur,23530373
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,AUBEPIERRE OZOUER LE REPOS,Electricite,230005
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,AUBEPIERRE OZOUER LE REPOS,Gaz,251006
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,AVON,Electricite,4604790
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,AVON,Gaz,6016054
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BAILLY ROMAINVILLIERS,Electricite,70077952
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BAILLY ROMAINVILLIERS,Gaz,998797
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BAILLY ROMAINVILLIERS,Reseau de chaleur,4242986
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BOIS LE ROI,Electricite,900475
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BOIS LE ROI,Gaz,1623757
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BOISSISE LE ROI,Electricite,1121313
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BRIE COMTE ROBERT,Electricite,7476886
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BRIE COMTE ROBERT,Gaz,5351045
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BROU SUR CHANTEREINE,Electricite,1492208
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BROU SUR CHANTEREINE,Gaz,2189974
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BUSSY SAINT GEORGES,Electricite,66843024
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BUSSY SAINT GEORGES,Gaz,15450202
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,BUSSY SAINT MARTIN,Electricite,1470603
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,CESSON,Electricite,15072355
