annee_consommation,meta_categorie_activite,categorie_activite,sous_categorie_activite,nombre_declaration,surface_declaree,consommation_declaree
0 - année de référence,Laboratoires,"Laboratoires (hors périmètre médical : étalonnage, suivi écologique…)",Laboratoire - Zone laboratoire de suivi écologique,21,71320,39693304
0 - année de référence,Local vacant,Local vacant,Local vacant,67,401674,48677501
0 - année de référence,Logistique,Logistique,Bureaux - Bureaux standards,8,34811,5593985
0 - année de référence,Logistique,Logistique,Logistique (Valeur par défaut),1363,10176352,992753991
0 - année de référence,Logistique,Logistique,Logistique - Administration et bureaux,487,2336165,273071326
0 - année de référence,Logistique,Logistique,Logistique de froid négatif (Référence -18°C),158,859188,345321920
0 - année de référence,Logistique,Logistique,Logistique température ambiante,4487,34684801,3503262595
0 - année de référence,Logistique,Logistique,Logistique température dirigée +12 à +17°C - Produits frais (Référence +15 °C),176,1465418,222931956
0 - année de référence,Logistique,Logistique,Logistique température dirigée froid positif +1 à +8°C - Produits frais (Référence +3°C),276,2087923,539031441
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs (Valeur par défaut),126,226704,63774419
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Administration et bureaux,10,17115,5036504
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Bowling,17,40045,4961335
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Casino,62,214983,105415099
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Discothèque,7,7693,865783
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Escape Game,5,1162,297737
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Espace Aqua ludique,10,28400,21910082
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Espace récréatif pour enfants,108,149910,18767472
0 - année de référence,Nuit & loisirs,Etablissement de nuit et de loisirs,Etablissement de nuit et de loisirs - Laser Game,3,4116,131684
0 - année de référence,Parc d'expositions,Parc d'expositions,Parc d'expositions (Valeur par défaut),41,710515,76517156
0 - année de référence,Parc d'expositions,Parc d'expositions,Parc d'expositions - Administration et bureaux,5,15406,2386192
0 - année de référence,Parc d'expositions,Parc d'expositions,Parc d'expositions - Halles d'expositions,56,1181594,155335409
0 - année de référence,Parc à thèmes,Parc d'attractions et parc à thèmes,Parc d'attractions et parc à thème (Valeur par défaut),104,353803,195581729
0 - année de référence,Parc à thèmes,Parc d'attractions et parc à thèmes,Parc d'attractions et parc à thème - Administration et bureaux,4,5645,1291538
0 - année de référence,Parties communes CC,Parties communes des centres commerciaux et des galeries commerciales,C Commercial et G Commerciale (Valeur par défaut),277,883296,214682116
0 - année de référence,Parties communes CC,Parties communes des centres commerciaux et des galeries commerciales,C Commercial et G Commerciale - Administration et bureaux,6,15888,2926154
0 - année de référence,Parties communes CC,Parties communes des centres commerciaux et des galeries commerciales,C Commercial et G Commerciale - Zones accessibles au public,280,876372,225786781
0 - année de référence,Parties communes CC,Parties communes des centres commerciaux et des galeries commerciales,C Commercial et G Commerciale - Zones techniques Commerces,21,18026,5142003
0 - année de référence,Restauration,Restauration - Débit de boissons,Bar et café (sans restauration),29,30155,10725659
0 - année de référence,Restauration,Restauration - Débit de boissons,Restaurant gastronomique,14,27652,7698105
0 - année de référence,Restauration,Restauration - Débit de boissons,Restaurant traditionnel - Brasserie,266,150017,63356994
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration (Valeur par défaut),260,432124,130725292
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration - Administration et bureaux,19,26109,9369975
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration - Réserve et/ou meuble froid positif,7,10402,7573732
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration - Réserve température ambiante,13,19498,8334420
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration collective Santé - Cuisine centrale (plateau repas ou bacs),41,71322,29442849
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration collective avec services - Restauration inter-entreprises,93,150358,47897005
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration collective scolaire et universitaire,403,448312,111787772
0 - année de référence,Restauration,Restauration - Débit de boissons,"Restauration rapide commerciale continue (Burger - Salade - Kebab, …)",311,81810,61119472
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration rapide debout (Sandwicherie),23,7548,3020093
0 - année de référence,Restauration,Restauration - Débit de boissons,Restauration sans service à la place (vente emportée),19,12949,3034180
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,Activité de santé libérale (Valeur par défaut),142,72108,15461621
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,Activité de santé libérale - Administration et bureaux,40,34089,5320294
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,Activité de santé libérale - Imageries médicales,16,11988,3269230
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,"Activité de santé libérale - Kinésithérapie, Rééducation fonctionnelle,",29,38599,11729947
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,Activité de santé libérale - Laboratoire médical,32,25361,7695567
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,Activité de santé libérale - Ophtalmologie,13,5858,734978
0 - année de référence,Santé,Santé - Activités de santé libérales avec process,Activité de santé libérale - Pratiques dentaires,44,11712,2295345
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier (Valeur par défaut),729,13873818,3921486492
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Process - Blanchisserie,8,65865,54731514
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Process - Restauration collective Cuisine centrale (plateau repas),10,21140,16752824
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Process - Restauration collective inter-entreprise,3,1912,449269
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Administration et bureaux,150,3023764,957645108
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Consultation,228,1572091,470857695
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Hospitalisation ambulatoire,72,124145,29816407
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Hospitalisation conventionnelle,424,9933747,3169213571
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Imageries médicales,17,12544,5695841
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Laboratoires médicaux,13,14872,5085329
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,"Centre Hospitalier - Soins et Supports - Rééducation fonctionnelle, Kinésithérapie",78,719591,185149684
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - Soins et Supports - Zone accueil public,24,358870,113446291
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Centre Hospitalier - ZEM - Blocs opératoires programmés (avec imageries interventionnelles),15,335154,109834318
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Etablissement d'hébergement pour personnes âgées dépendantes (EHPAD) - Zones de vie,19,397281,99852284
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Etablissement médicalisé d'hébergement permanent pour adultes dépendants (MAS – FAM/EAM) - Zones de vie,3,52697,16089305
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Logistique température ambiante,4,207638,35312160
0 - année de référence,Santé,Santé - Centre hospitalier public et privé,Stationnement en infrastructure (Sous-sol en ventilation mécanique),4,232230,84488323
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Centre Hospitalier - Soins et Supports - Hospitalisation conventionnelle,3,54729,15750204
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Centre médical (Maison médicale - Protection Maternelle et Infantile),80,91824,14733483
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Centre médical spécialisé pour enfants et adolescents (CAMSP – CMPP),55,95892,13348561
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissement d'hébergement pour personnes âgées dépendantes (EHPAD) - Zones de vie,2150,10656995,2136023667
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissement d'hébergement social ou médico-social de mineurs en difficultés (MECS) - Zones de vie,177,431245,85241994
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissement de prise en charge pour les enfants et adolescents (IEM – EEAP – IME – IDA – IDV - ITEP) - Zones de vie,506,1750487,301603277
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissement médicalisé d'hébergement permanent pour adultes dépendants (MAS – FAM/EAM) - Zones de vie,577,2042260,397283623
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissements médico-sociaux (Valeur par défaut),2016,7593155,1460001127
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissements médico-sociaux - Administration et bureaux,223,477635,95084816
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissements médico-sociaux - Process - Blanchisserie,45,243622,67288713
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Etablissements médico-sociaux - Process - Restauration collective,26,112889,28892305
0 - année de référence,Santé,Santé - Etablissements médico-sociaux,Logistique température ambiante,4,11366,2567637
0 - année de référence,Serveurs & IT,Salles serveurs et centres d'exploitation informatique,Grand Data Center (5 000 m² < Surf < 10 000 m²),11,77640,221751240
0 - année de référence,Serveurs & IT,Salles serveurs et centres d'exploitation informatique,Mini Data Center (100 m² < Surf < 500 m²),5,2037,2628891
0 - année de référence,Serveurs & IT,Salles serveurs et centres d'exploitation informatique,Moyen Data Center (1000 m² < Surf < 5 000 m²),44,133633,273460443
0 - année de référence,Serveurs & IT,Salles serveurs et centres d'exploitation informatique,Petit Data Center (500 m² < Surf < 1000 m²),16,12280,53837553
0 - année de référence,Serveurs & IT,Salles serveurs et centres d'exploitation informatique,Salle serveur & Data Center - Valeur par défaut,5,19124,20519522
0 - année de référence,Serveurs & IT,Salles serveurs et centres d'exploitation informatique,Très Grand Data Center ( Surf >10 000 m²),12,176439,359199661
0 - année de référence,Sports,Sports,Bureaux - Grande salle de réunion - Auditorium - Amphithéâtre (à partir de 30 places),5,3051,521926
0 - année de référence,Sports,Sports,Enseignement Primaire - Salles d'enseignement Elémentaire,3,14504,3248420
0 - année de référence,Sports,Sports,Enseignement Primaire - Salles d'enseignement Maternelle,3,15946,1724484
0 - année de référence,Sports,Sports,Local vacant,3,9307,2592583
0 - année de référence,Sports,Sports,Logistique température ambiante,7,23784,7323854
0 - année de référence,Sports,Sports,Salle de spectacles vivants - Salle de spectacle (Partie publics),7,17355,4936062
0 - année de référence,Sports,Sports,Sports (Valeur par défaut),1376,3439605,531769900
0 - année de référence,Sports,Sports,Sports - Administration et bureaux,114,146923,24832289
0 - année de référence,Sports,Sports,Sports - Centre équestre,15,49396,1774078
0 - année de référence,Sports,Sports,"Sports - Gymnase (applicable à : Cesta punta, Salle d'escalade, Squash ou Tennis couvert…)",1603,3630967,495855356
0 - année de référence,Sports,Sports,Sports - Hippodrome et Cynodrome,6,54906,12862902
0 - année de référence,Sports,Sports,Sports - Patinoire,35,180289,74378651
0 - année de référence,Sports,Sports,Sports - Piscine,584,1787839,1357231599
0 - année de référence,Sports,Sports,Sports - Récupération sportive (Massage - Cryothérapie en bassin ou cabine),5,10473,3573012
0 - année de référence,Sports,Sports,Sports - Salle d'athlétisme couverte,13,84537,7549222
0 - année de référence,Sports,Sports,Sports - Salle de danse,45,42724,6761394
0 - année de référence,Sports,Sports,"Sports - Salle de sport collectif (Basket ball, Hand ball, Volley ball, Futsal…)",1653,3903542,517545269
0 - année de référence,Sports,Sports,Sports - Salle de sport de combat (Dojo),103,164573,26796651
0 - année de référence,Sports,Sports,Sports - Salle de sport de cours collectifs,212,431226,58596668
0 - année de référence,Sports,Sports,Sports - Salle de sport de pratique individuelle (Machines cardio et musculation),372,533006,78633383
0 - année de référence,Sports,Sports,Sports - Stade couvert,63,362612,31605519
0 - année de référence,Sports,Sports,Sports - Stade non couvert (Vélodrome),154,897532,115514286
0 - année de référence,Sports,Sports,Sports - Stand de tir,17,20673,1788769
0 - année de référence,Sports,Sports,"Sports - Vestiaires, douches et sanitaire",382,377571,79000685
0 - année de référence,Sports,Sports,Sports - Vélodrome (couvert),8,50672,4094027
0 - année de référence,Sports,Sports,Stationnement en infrastructure (Sous-sol en ventilation mécanique),4,14527,1365583
0 - année de référence,Stationnement,Stationnement,Stationnement (Valeur par défaut),191,1395852,50681922
0 - année de référence,Stationnement,Stationnement,Stationnement en infrastructure (Sous-sol en ventilation mécanique),652,9158464,385720109
0 - année de référence,Stationnement,Stationnement,Stationnement en superstructure (Silo en ventilation naturelle),130,2796417,110339813
0 - année de référence,Stationnement,Stationnement,Stationnement – Station service,6,51409,666516
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport (Valeur par défaut),18,55949,10290002
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport commercial - Administration et bureaux,90,95090,10651779
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport commercial - Hangars de maintenance aéronautique d'aviation générale et d'affaires,31,237571,53020959
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport commercial - Tri bagages - Densité énergétique Niveau 2 (A< DE < B W/m²),3,16401,2000000
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport commercial International (Catégorie A) - Zone Passagers & partie commune zone commerciale,46,1033674,351128417
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport commercial National (Catégorie B) - Zone Passagers & partie commune zone commerciale,3,30419,5197725
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport commercial Régional (Catégorie C) - Zone Passagers & partie commune zone commerciale,4,29349,5509197
0 - année de référence,Transport,Transport aérien de voyageurs - Site aéroporturaire,Aéroport d'aviation générale et d'affaires (Catégories C & D) - Zone Passagers & partie commune zone commerciale,23,130221,23217548
0 - année de référence,Transport,Transport ferroviaire de voyageurs,Gare ferroviaire (Valeur par défaut),2305,4716248,993067638
0 - année de référence,Transport,Transport ferroviaire de voyageurs,Gare ferroviaire - Administration et bureaux,27,124920,29843797
0 - année de référence,Transport,Transport ferroviaire de voyageurs,Gare ferroviaire - Ateliers de maintenance du matériel roulant - Niveau 1 à 3,14,17077,2935341
0 - année de référence,Transport,Transport ferroviaire de voyageurs,Gare ferroviaire - Ateliers de maintenance du matériel roulant - Niveau 1 à 4,5,55932,9041837
0 - année de référence,Transport,Transport ferroviaire de voyageurs,Gare ferroviaire - Zones Voyageurs - hors quai non couvert,13,17910,5015520
0 - année de référence,Transport,Transport ferroviaire de voyageurs,Gare ferroviaire - Zones de remisage couverte et close,12,9270,829890
0 - année de référence,Transport,Transport maritime ou fluvial de voyageurs,Gare maritime ou fluviale (Valeur par défaut),5,9801,1393380
0 - année de référence,Transport,Transport routier de voyageurs,Gare routière (Valeur par défaut),6,19077,1984377
0 - année de référence,Transport,Transport routier de voyageurs,Gare routière - Administration et bureaux,35,100498,18428893
0 - année de référence,Transport,Transport urbain de voyageurs (métro),Transport urbain - Administration et bureaux,8,10202,3544993
0 - année de référence,Transport,Transport urbain de voyageurs (métro),Transport urbain - Ateliers de maintenance des bus,34,172672,45903688
0 - année de référence,Transport,Transport urbain de voyageurs (métro),Transport urbain - Ateliers de maintenance du matériel roulant sur rail (tramway et métro),17,228607,47881583
0 - année de référence,Transport,Transport urbain de voyageurs (métro),Transport urbain - Station de métro,12,223378,26491677
0 - année de référence,Transport,Transport urbain de voyageurs (métro),Transport urbain - Valeur par défaut,6,33039,6491316
0 - année de référence,Transport,Transport urbain de voyageurs (métro),Transport urbain - Zones de remisage couverte,18,250318,33637283
0 - année de référence,Vente véhicules et engins,Vente et services engins nautiques et de plaisance,Vente et services engins nautiques et de plaisance (Valeur par défaut),9,3953,325647
0 - année de référence,Vente véhicules et engins,Vente et services engins nautiques et de plaisance,Vente et services engins nautiques et de plaisance - Administration et bureaux,4,5100,706795
0 - année de référence,Vente véhicules et engins,Vente et services engins nautiques et de plaisance,Vente et services engins nautiques et de plaisance - Atelier de mécanique,10,19246,2423034
0 - année de référence,Vente véhicules et engins,Vente et services motocycle,Vente et services motocycles (Valeur par défaut),15,13059,1268745
0 - année de référence,Vente véhicules et engins,Vente et services motocycle,Vente et services motocycles - Atelier de mécanique,4,3644,497789
0 - année de référence,Vente véhicules et engins,Vente et services motocycle,Vente et services motocycles - Magasin de stockage de pièces,4,2465,60396
0 - année de référence,Vente véhicules et engins,Vente et services motocycle,Vente et services motocycles - Vente et exposition des véhicules,9,8654,862715
0 - année de référence,Vente véhicules et engins,Vente et services motocycle,Vente et services motocycles - Zone Accueil public,3,3782,497775
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Stationnement en infrastructure (Sous-sol en ventilation mécanique),4,22361,3759997
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers (Valeur par défaut),1383,3759573,613413371
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Administration et bureaux,44,53789,7609210
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Aire de préparation et de lavage,32,103119,18670112
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Atelier de carrosserie- peinture,66,105887,19403568
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Atelier de mécanique,531,1252909,193723013
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Contrôle technique,20,10222,663144
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Locaux de formation,5,7584,425180
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Magasin de stockage de pièces,57,165145,17908232
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Vente et exposition des véhicules,250,523825,78890224
0 - année de référence,Vente véhicules et engins,Vente et services véhicules légers,Vente et services véhicules légers - Zone Accueil public,14,26019,3250899
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Logistique température ambiante,4,17530,1403998
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Stationnement en superstructure (Silo en ventilation naturelle),3,12967,577345
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels (Valeur par défaut),366,884813,106704304
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Administration et bureaux,33,93752,10126868
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Aire de préparation et de lavage,9,15366,3925236
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Atelier de carrosserie - peinture,21,53733,7465709
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Atelier de mécanique,697,1535496,187705730
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Contrôle technique,3,1702,62281
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Locaux de formation,3,2708,269818
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Magasin de stockage de pièces,66,204730,20890429
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Vente et exposition des véhicules,19,44085,2722572
0 - année de référence,Vente véhicules et engins,Vente et services véhicules utilitaires et véhicules industriels,Vente et services véhicules utilitaires et véhicules industriels - Zone Accueil public,9,16191,1683777
2020,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance (Valeur par défaut),467,810830,74445121
2020,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance - Administration et bureaux,45,71299,6421349
2020,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance - Crèche,821,714666,93200457
2020,Accueil petite enfance,Accueil petite enfance,Accueil petite enfance - Halte garderie,212,160422,16899729
2020,Audiovisuel,Audiovisuel - Radio,Radio (Valeur par défaut),38,13539,1748060
2020,Audiovisuel,Audiovisuel - Radio,Radio - Administration et rédaction,25,28198,5058171
2020,Audiovisuel,Audiovisuel - Télévision et télédiffusion,Télévision (Valeur par défaut),73,239547,62945664
2020,Audiovisuel,Audiovisuel - Télévision et télédiffusion,Télévision - Administration et rédaction,21,87591,29829303
2020,Audiovisuel,Audiovisuel - Télévision et télédiffusion,Télévision - Studio d'enregistrement et de diffusion d'émissions télévisées,41,97795,13086210
2020,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle (Valeur par défaut),184,747807,633529802
2020,Blanchisserie,"Blanchisserie dite ""industrielle""","Blanchisserie industrielle - Lavage, Séchage et Finition",28,61897,41378212
2020,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle - Nettoyage à sec,11,909,433790
2020,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle - Stockage et Tri,7,34523,16550530
2020,Blanchisserie,"Blanchisserie dite ""industrielle""",Blanchisserie industrielle - Traitement linge résidents ou particuliers,17,9511,6814582
2020,Bureaux,Bureaux – Services Publics - Banque,Accueil petite enfance - Crèche,3,2590,200041
2020,Bureaux,Bureaux – Services Publics - Banque,Accueil petite enfance - Halte garderie,5,10251,990622
2020,Bureaux,Bureaux – Services Publics - Banque,Banque - Distributeur automatique de billets indépendant,8,1012,85918
2020,Bureaux,Bureaux – Services Publics - Banque,Banque - Zone guichets accueil personnalisé,202,101657,13447110
2020,Bureaux,Bureaux – Services Publics - Banque,Bibliothèque et médiathèque - Salle de lecture,8,12817,1610133
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux (Valeur par défaut),12113,21165294,2510078765
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Autres activités de services,933,2011022,254707420
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Bureaux standards,17454,39988621,5576855263
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Centre Documentaire,39,103906,13224026
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Espace Co-Working,130,342003,39375905
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Flex Office,351,1809872,270658577
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Grande salle de réunion - Auditorium - Amphithéâtre (à partir de 30 places),340,471935,51954833
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Open Space,2739,8296598,1277750576
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Salle Haute Intensité – Centre d'appel,68,154905,22162177
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Salle Haute Intensité – Salle de marché,9,45221,16076010
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Zone Accueil Public,603,802278,99138039
2020,Bureaux,Bureaux – Services Publics - Banque,Bureaux - Zone archive sans contrainte hygrothermique,121,279853,35487480
2020,Bureaux,Bureaux – Services Publics - Banque,Enseignement Primaire - Salles d'enseignement Elémentaire,8,6903,879483
2020,Bureaux,Bureaux – Services Publics - Banque,Enseignement Primaire - Salles d'enseignement Maternelle,5,8574,902069
2020,Bureaux,Bureaux – Services Publics - Banque,Enseignement Primaire - Salles multi activité et Périscolaire,5,10457,1111777
2020,Bureaux,Bureaux – Services Publics - Banque,Laboratoire - Administration et bureaux,3,10508,2230938
2020,Bureaux,Bureaux – Services Publics - Banque,Local vacant,16,61250,5338410
2020,Bureaux,Bureaux – Services Publics - Banque,Logistique - Administration et bureaux,7,67953,14001074
2020,Bureaux,Bureaux – Services Publics - Banque,Logistique température ambiante,92,409721,63152326
2020,Bureaux,Bureaux – Services Publics - Banque,Logistique température dirigée +12 à +17°C - Produits frais (Référence +15 °C),3,7115,1089329
2020,Bureaux,Bureaux – Services Publics - Banque,Restauration collective avec services - Restauration inter-entreprises,5,15906,4259694
2020,Bureaux,Bureaux – Services Publics - Banque,Restauration collective scolaire et universitaire,6,7950,961430
2020,Bureaux,Bureaux – Services Publics - Banque,Salle d'exposition & Galerie d'art - Salle d'exposition ouverte au public,5,13720,2272110
2020,Bureaux,Bureaux – Services Publics - Banque,Salle de spectacles vivants - Salle de spectacle (Partie publics),8,31519,2592333
2020,Bureaux,Bureaux – Services Publics - Banque,Salle de spectacles vivants - Salles de répétition,4,6439,474495
2020,Bureaux,Bureaux – Services Publics - Banque,Stationnement en infrastructure (Sous-sol en ventilation mécanique),50,797856,80518760
2020,Bureaux,Bureaux – Services Publics - Banque,Stationnement en superstructure (Silo en ventilation naturelle),9,64055,4083289
2020,Bureaux,Bureaux – Services Publics - Banque,Vente et services véhicules légers - Atelier de mécanique,4,12365,3901839
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché (Valeur par défaut),3483,7100754,2297423971
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché - Administration et bureaux,3,9721,3369547
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché - Réserve et Drive Froid négatif,3,6848,1637788
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché - Réserve et Drive température ambiante,30,76799,21849339
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché - Zone de préparation en température dirigée froid positif,3,6760,3293952
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),"Grand supermarché - Zone de vente - Textile, bazar, maison et bricolage",5,11502,4571565
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),"Grand supermarché - Zone de vente Produits de grande consommation (épicerie, boissons, produits d'entretien de la personne et de la maison)",256,688094,221243838
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché - Zone de vente Produits frais et surgelés - Froid positif et négatif,158,428473,126552131
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Grand supermarché (surface de vente comprise entre 1 000 m² et 2 500 m²),Grand supermarché - Zone de vente primeur,6,15544,6162351
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Hypermarché (surface de vente supérieure à 2 500 m²),Hypermarché (Valeur par défaut),1891,16662916,4696021370
2020,Commerce alimentaire,Commerce - Grande Surface Alimentaire - Hypermarché (surface de vente supérieure à 2 500 m²),Hypermarché - Administration et bureaux,3,26341,5920364
