annee_consommation,zone_climatique,code_region,code_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,H1a,11,77,MAREUIL LES MEAUX,11,27717,4999607,Electricite
Année de référence,H1a,11,77,MAREUIL LES MEAUX,11,27717,4999607,Gaz
Année de référence,H1a,11,77,MAROLLES SUR SEINE,3,31187,1699838,Electricite
Année de référence,H1a,11,77,MAUREGARD,7,3391,218404,Electricite
Année de référence,H1a,11,77,MOISSY CRAMAYEL,18,188465,16218058,Electricite
Année de référence,H1a,11,77,MOISSY CRAMAYEL,18,188465,16218058,Gaz
Année de référence,H1a,11,77,MONTEREAU FAULT YONNE,47,140370,19462806,Electricite
Année de référence,H1a,11,77,MONTEREAU FAULT YONNE,47,140370,19462806,Gaz
Année de référence,H1a,11,77,MONTEREAU FAULT YONNE,47,140370,19462806,Reseau de chaleur
Année de référence,H1a,11,77,MONTEREAU SUR LE JARD,6,8936,857496,Electricite
Année de référence,H1a,11,77,MONTEVRAIN,17,54891,9139023,Electricite
Année de référence,H1a,11,77,MONTEVRAIN,17,54891,9139023,Gaz
Année de référence,H1a,11,77,MORET LOING ET ORVANNE,8,25137,5503713,Electricite
Année de référence,H1a,11,77,MORET LOING ET ORVANNE,8,25137,5503713,Gaz
Année de référence,H1a,11,77,MORMANT,4,74122,6553501,Electricite
Année de référence,H1a,11,77,MORMANT,4,74122,6553501,Gaz
Année de référence,H1a,11,77,MOUROUX,13,23560,5451814,Electricite
Année de référence,H1a,11,77,MOUROUX,13,23560,5451814,Gaz
Année de référence,H1a,11,77,MOUSSY LE NEUF,5,113092,24054329,Electricite
Année de référence,H1a,11,77,MOUSSY LE NEUF,5,113092,24054329,Gaz
Année de référence,H1a,11,77,NANDY,3,16674,2753105,Electricite
Année de référence,H1a,11,77,NANGIS,18,45880,15619713,Electricite
Année de référence,H1a,11,77,NANGIS,18,45880,15619713,Gaz
Année de référence,H1a,11,77,NANTEUIL LES MEAUX,9,23678,6618778,Electricite
Année de référence,H1a,11,77,NANTEUIL LES MEAUX,9,23678,6618778,Gaz
Année de référence,H1a,11,77,NEMOURS,27,75090,15021118,Electricite
Année de référence,H1a,11,77,NEMOURS,27,75090,15021118,Gaz
Année de référence,H1a,11,77,NOISIEL,26,152393,32012620,Electricite
Année de référence,H1a,11,77,NOISIEL,26,152393,32012620,Gaz
Année de référence,H1a,11,77,OCQUERRE,3,7574,2810462,Electricite
