annee_consommation,zone_climatique,nom_region,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree,vecteur_energie
Année de référence,H1c,Bourgogne-Franche-Comté,Doubs,GENEUILLE,3,7732,1442655,Inconnu
Année de référence,H1c,Bourgogne-Franche-Comté,Saône-et-Loire,DRACY LE FORT,4,14296,918137,Electricite
Année de référence,H1c,Bourgogne-Franche-Comté,Saône-et-Loire,FARGES LES CHALON,3,5688,1089758,Inconnu
Année de référence,H1c,Bretagne,Côtes-d'Armor,SAINT BRIEUC,4,21188,815779,Electricite
Année de référence,H1c,Nouvelle-Aquitaine,Creuse,EVAUX LES BAINS,3,13072,1178850,Electricite
Année de référence,H1c,Nouvelle-Aquitaine,Dordogne,TERRASSON LAVILLEDIEU,3,2802,701301,Inconnu
Année de référence,H1c,Nouvelle-Aquitaine,Gironde,LORMONT,3,8308,177951,Electricite
Année de référence,H1c,Nouvelle-Aquitaine,Haute-Vienne,NANTIAT,3,4805,554038,Inconnu
Année de référence,H1c,Nouvelle-Aquitaine,Haute-Vienne,SAINT SULPICE LES FEUILLES,3,910,169829,Fioul
Année de référence,H1c,Auvergne-Rhône-Alpes,Cantal,ANDELAT,4,5358,628450,Electricite
Année de référence,H1c,Auvergne-Rhône-Alpes,Isère,CREMIEU,3,6573,2089589,Inconnu
Année de référence,H1c,Auvergne-Rhône-Alpes,Isère,SUSVILLE,3,7058,1701767,Inconnu
Année de référence,H1c,Auvergne-Rhône-Alpes,Puy-de-Dôme,LA BOURBOULE,3,5670,1668389,Inconnu
Année de référence,H1c,Auvergne-Rhône-Alpes,Rhône,MONTAGNY,9,13365,3401591,Electricite
Année de référence,H1c,Auvergne-Rhône-Alpes,Savoie,DULLIN,5,2710,204105,Electricite
Année de référence,H1c,Auvergne-Rhône-Alpes,Savoie,NOVALAISE,3,5893,2428172,Inconnu
Année de référence,H1c,Auvergne-Rhône-Alpes,Savoie,TOURS EN SAVOIE,3,2794,807544,Electricite
Année de référence,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,BONNE,3,9948,2464863,Inconnu
Année de référence,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,DOMANCY,3,4643,910957,Electricite
Année de référence,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,SAINT CERGUES,3,5149,349794,Electricite
Année de référence,H1c,Provence-Alpes-Côte d'Azur,Hautes-Alpes,LA SAULCE,3,5819,428399,Electricite
Année de référence,H1c,Provence-Alpes-Côte d'Azur,Hautes-Alpes,VEYNES,3,5601,2000855,Inconnu
Année de référence,H1c,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,MARSEILLE 03,3,553,40546,Electricite
Année de référence,H2a,Normandie,Manche,BARNEVILLE CARTERET,5,9031,1688029,Electricite
Année de référence,H2a,Normandie,Manche,FERMANVILLE,4,1119,76015,Electricite
Année de référence,H2a,Normandie,Manche,QUETTREVILLE SUR SIENNE,4,1891,104628,Inconnu
Année de référence,H2a,Normandie,Manche,TOLLEVAST,6,15805,1651616,Electricite
Année de référence,H2a,Normandie,Manche,TREAUVILLE,4,1165,127157,Electricite
Année de référence,H2a,Normandie,Manche,YQUELON,3,7071,407966,Electricite
Année de référence,H2a,Bretagne,Côtes-d'Armor,PLESTAN,5,21413,3738700,Electricite
Année de référence,H2a,Bretagne,Finistère,CLEDER,3,14352,2764458,Electricite
Année de référence,H2a,Bretagne,Finistère,LANRIVOARE,3,5375,194203,Electricite
Année de référence,H2a,Bretagne,Finistère,PLUGUFFAN,6,9654,688746,Electricite
Année de référence,H2a,Bretagne,Finistère,SAINT EVARZEC,5,15763,590324,Electricite
Année de référence,H2b,Île-de-France,Paris,PARIS 08,3,2696,1579273,Inconnu
Année de référence,H2b,Île-de-France,Hauts-de-Seine,PUTEAUX,12,130929,2828800,Electricite
Année de référence,H2b,Centre-Val de Loire,Cher,LE SUBDRAY,3,7625,1302224,Electricite
Année de référence,H2b,Centre-Val de Loire,Cher,SANCERRE,3,10812,3006114,Inconnu
Année de référence,H2b,Centre-Val de Loire,Indre-et-Loire,YZEURES SUR CREUSE,3,5302,226166,Electricite
Année de référence,H2b,Pays de la Loire,Loire-Atlantique,LEGE,7,11624,576363,Electricite
Année de référence,H2b,Pays de la Loire,Loire-Atlantique,MOUZEIL,6,4086,263430,Electricite
Année de référence,H2b,Pays de la Loire,Mayenne,GORRON,3,4997,679219,Electricite
Année de référence,H2b,Pays de la Loire,Sarthe,ECOMMOY,3,25633,4366623,Inconnu
Année de référence,H2b,Pays de la Loire,Sarthe,SAINTE JAMME SUR SARTHE,5,19246,3665931,Inconnu
Année de référence,H2b,Pays de la Loire,Sarthe,TRANGE,5,9693,782703,Electricite
Année de référence,H2b,Pays de la Loire,Vendée,COMMEQUIERS,3,4436,604843,Electricite
Année de référence,H2b,Pays de la Loire,Vendée,FALLERON,6,3409,106024,Electricite
Année de référence,H2b,Pays de la Loire,Vendée,GRAND LANDES,7,1832,189696,Electricite
Année de référence,H2b,Pays de la Loire,Vendée,L ILE D YEU,4,10407,1329391,Electricite
Année de référence,H2b,Pays de la Loire,Vendée,LA GENETOUZE,5,3878,222143,Electricite
Année de référence,H2b,Pays de la Loire,Vendée,SAINT PROUANT,4,13635,3485232,Inconnu
Année de référence,H2b,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,6,1883,99395,Electricite
Année de référence,H2b,Nouvelle-Aquitaine,Charente-Maritime,MARSILLY,3,2603,679261,Inconnu
Année de référence,H2b,Nouvelle-Aquitaine,Charente-Maritime,SAINTE SOULLE,3,14975,1714011,Electricite
Année de référence,H2b,Nouvelle-Aquitaine,Deux-Sèvres,FRESSINES,5,2660,244640,Electricite
Année de référence,H2b,Nouvelle-Aquitaine,Deux-Sèvres,SAUZE VAUSSAIS,4,11292,2230129,Inconnu
Année de référence,H2b,Nouvelle-Aquitaine,Vienne,BONNEUIL MATOURS,3,1718,169074,Electricite
Année de référence,H2c,Île-de-France,Hauts-de-Seine,PUTEAUX,41,547816,14367910,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Dordogne,LE LARDIN SAINT LAZARE,3,4043,576150,Inconnu
Année de référence,H2c,Nouvelle-Aquitaine,Gironde,CABANAC ET VILLAGRAINS,3,1156,56195,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Gironde,LES ARTIGUES DE LUSSAC,7,2781,43633,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Gironde,PUGNAC,3,5995,691588,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Gironde,SAINT BRICE,3,7800,502874,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Landes,MOLIETS ET MAA,3,9107,686626,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Landes,PISSOS,3,2610,269144,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Lot-et-Garonne,SAINT VITE,3,8567,322388,Inconnu
Année de référence,H2c,Nouvelle-Aquitaine,Pyrénées-Atlantiques,LAHONCE,6,4194,418192,Electricite
Année de référence,H2c,Nouvelle-Aquitaine,Pyrénées-Atlantiques,PARDIES,3,3854,126893,Electricite
Année de référence,H2c,Occitanie,Ariège,VERNIOLLE,3,13085,1909128,Electricite
Année de référence,H2c,Occitanie,Haute-Garonne,AUZIELLE,5,2016,224430,Electricite
Année de référence,H2c,Occitanie,Haute-Garonne,MONTBRUN LAURAGAIS,4,1356,71550,Electricite
Année de référence,H2c,Occitanie,Haute-Garonne,MONTGISCARD,4,11860,1856838,Electricite
Année de référence,H2c,Occitanie,Lot,CAPDENAC,3,5916,674762,Electricite
Année de référence,H2c,Occitanie,Hautes-Pyrénées,BARBAZAN DEBAT,5,7060,357635,Electricite
Année de référence,H2c,Occitanie,Tarn,SOUAL,5,16206,2788528,Electricite
Année de référence,H2d,Auvergne-Rhône-Alpes,Drôme,MIRABEL ET BLACONS,9,2510,239299,Electricite
Année de référence,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,CHATEAUNEUF DE GADAGNE,3,20315,786353,Electricite
Année de référence,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,LE THOR,4,17088,514055,Electricite
Année de référence,H2d,Provence-Alpes-Côte d'Azur,Vaucluse,MORNAS,4,5419,2826166,Electricite
Année de référence,H3,Île-de-France,Hauts-de-Seine,PUTEAUX,43,597760,14385370,Electricite
Année de référence,H3,Bretagne,Ille-et-Vilaine,CESSON SEVIGNE,3,497,29498,Electricite
Année de référence,H3,Bretagne,Ille-et-Vilaine,PACE,6,1221,237634,Electricite
Année de référence,H3,Occitanie,Gard,AIMARGUES,4,21129,3780058,Electricite
Année de référence,H3,Occitanie,Gard,LAUDUN L ARDOISE,3,4044,573783,Electricite
Année de référence,H3,Occitanie,Gard,MEJANNES LE CLAP,4,7372,661676,Inconnu
Année de référence,H3,Occitanie,Gard,MILHAUD,4,3562,757572,Electricite
Année de référence,H3,Occitanie,Pyrénées-Orientales,ERR,3,8552,995567,Electricite
Année de référence,H3,Occitanie,Pyrénées-Orientales,LAROQUE DES ALBERES,4,7230,1840622,Electricite
Année de référence,H3,Occitanie,Pyrénées-Orientales,LOS MASOS,3,9862,1518088,Electricite
Année de référence,H3,Occitanie,Pyrénées-Orientales,POLLESTRES,10,15557,1277389,Electricite
Année de référence,H3,Occitanie,Pyrénées-Orientales,SOREDE,7,10681,838322,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,ROQUEVAIRE,5,10812,864226,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,SAINTES MARIES DE LA MER,4,5007,502977,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,COGOLIN,9,15648,2612071,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,LA CRAU,5,7050,917291,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,LE LAVANDOU,6,12182,2607622,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,RAYOL CANADEL SUR MER,4,5029,1111674,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,ROCBARON,3,2398,397773,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,SAINT TROPEZ,3,5261,1229354,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,VIDAUBAN,5,14086,862339,Electricite
Année de référence,H3,Provence-Alpes-Côte d'Azur,Var,VINON SUR VERDON,3,4592,4424395,Inconnu
Année de référence,H3,Corse,Corse-du-Sud,AFA,3,20523,4955717,Electricite
Année de référence,H3,Corse,Corse-du-Sud,PORTO VECCHIO,16,34229,6955684,Electricite
Année de référence,H3,Corse,Haute-Corse,CALVI,3,8597,2066449,Electricite
Année de référence,H3,Corse,Haute-Corse,L ILE ROUSSE,3,3865,1281445,Electricite
Année de référence,MAR,Martinique,Martinique,DUCOS,9,1121,248564,Electricite
Année de référence,MAR,Martinique,Martinique,LE LAMENTIN,79,190949,36550315,Electricite
Année de référence,MAR,Martinique,Martinique,LE MARIN,4,2294,421873,Electricite
Année de référence,MAR,Martinique,Martinique,SCHOELCHER,10,40082,9399194,Electricite
Année de référence,MAY,Mayotte,Mayotte,MAMOUDZOU,14,50096,7579862,Electricite
Année de référence,MAY,Mayotte,Mayotte,PAMANDZI,3,11889,1349159,Electricite
Année de référence,REU,La Réunion,La Réunion,BRAS PANON,5,7806,2467318,Electricite
Année de référence,REU,La Réunion,La Réunion,LA POSSESSION,11,33944,5519095,Electricite
Année de référence,REU,La Réunion,La Réunion,LE PORT,90,238912,39466532,Electricite
Année de référence,REU,La Réunion,La Réunion,LES AVIRONS,5,12543,631464,Electricite
Année de référence,REU,La Réunion,La Réunion,SAINT ANDRE,27,64116,3775982,Electricite
Année de référence,REU,La Réunion,La Réunion,SAINT BENOIT,24,65593,9558553,Electricite
Année de référence,REU,La Réunion,La Réunion,SAINT LEU,31,56068,8481059,Electricite
2020,GUA,Guadeloupe,Guadeloupe,BAIE MAHAULT,104,236889,32033545,Electricite
2020,GUA,Guadeloupe,Guadeloupe,BAILLIF,6,7746,1085220,Electricite
2020,GUA,Guadeloupe,Guadeloupe,BASSE TERRE,5,11144,1091930,Electricite
2020,GUA,Guadeloupe,Guadeloupe,GOURBEYRE,4,10573,565882,Electricite
2020,GUA,Guadeloupe,Guadeloupe,LE GOSIER,7,2147,915859,Electricite
2020,GUA,Guadeloupe,Guadeloupe,LES ABYMES,45,112606,19446356,Electricite
2020,GUA,Guadeloupe,Guadeloupe,PETIT BOURG,13,14890,1007677,Electricite
2020,GUA,Guadeloupe,Guadeloupe,POINTE A PITRE,4,4397,582961,Electricite
2020,GUA,Guadeloupe,Guadeloupe,SAINT FRANCOIS,6,8982,2384582,Electricite
2020,GUY,Guyane,Guyane,CAYENNE,33,79025,7659470,Electricite
2020,GUY,Guyane,Guyane,KOUROU,5,9575,1960631,Electricite
2020,GUY,Guyane,Guyane,MATOURY,13,20831,2332755,Electricite
2020,GUY,Guyane,Guyane,REMIRE MONTJOLY,13,16975,6112043,Electricite
2020,H1a,Île-de-France,Seine-et-Marne,DAMMARTIN EN GOELE,4,30044,7144590,Inconnu
2020,H1a,Île-de-France,Seine-et-Marne,MAUREGARD,7,3391,216165,Electricite
2020,H1a,Île-de-France,Seine-et-Marne,SOUPPES SUR LOING,4,11695,2575169,Inconnu
2020,H1a,Île-de-France,Essonne,BIEVRES,7,3579,360711,Electricite
2020,H1a,Île-de-France,Essonne,CHAMARANDE,3,3913,1262449,Inconnu
2020,H1a,Île-de-France,Essonne,SAINT AUBIN,19,17553,1939089,Electricite
2020,H1a,Île-de-France,Essonne,SAINT JEAN DE BEAUREGARD,4,651,134283,Electricite
2020,H1a,Île-de-France,Essonne,VERT LE GRAND,3,8627,3016983,Inconnu
2020,H1a,Île-de-France,Val-d'Oise,BONNEUIL EN FRANCE,5,65536,4179636,Electricite
2020,H1a,Île-de-France,Val-d'Oise,ECOUEN,3,26705,2068310,Inconnu
2020,H1a,Île-de-France,Val-d'Oise,MONTSOULT,4,79165,21981162,Inconnu
2020,H1a,Centre-Val de Loire,Eure-et-Loir,BREZOLLES,3,8315,546232,Inconnu
2020,H1a,Normandie,Calvados,PERIERS EN AUGE,3,3548,238888,Electricite
2020,H1a,Normandie,Calvados,SAINT MARTIN DES ENTREES,3,14037,2748202,Electricite
2020,H1a,Normandie,Calvados,TREVIERES,3,3627,316124,Inconnu
2020,H1a,Normandie,Eure,PONT DE L ARCHE,3,7132,789824,Inconnu
2020,H1a,Normandie,Orne,BRIOUZE,3,4187,470527,Electricite
2020,H1a,Normandie,Orne,MOULINS LA MARCHE,3,5936,316446,Electricite
2020,H1a,Normandie,Orne,REMALARD EN PERCHE,3,6919,183421,Electricite
2020,H1a,Normandie,Orne,RIVES D ANDAINE,4,9661,2547168,Inconnu
2020,H1a,Normandie,Seine-Maritime,PISSY POVILLE,7,6293,613134,Electricite
2020,H1a,Hauts-de-France,Aisne,SAINT ERME OUTRE ET RAMECOURT,4,12055,1510571,Inconnu
2020,H1a,Hauts-de-France,Oise,LA CHAPELLE EN SERVAL,4,14116,2211646,Inconnu
2020,H1a,Hauts-de-France,Oise,MILLY SUR THERAIN,4,1055,355730,Electricite
2020,H1a,Hauts-de-France,Pas-de-Calais,DUISANS,9,15846,828563,Electricite
2020,H1a,Hauts-de-France,Pas-de-Calais,FRESNES LES MONTAUBAN,8,4689,585496,Electricite
2020,H1a,Hauts-de-France,Pas-de-Calais,LE WAST,3,3869,322800,Inconnu
2020,H1a,Hauts-de-France,Pas-de-Calais,WIMILLE,3,16245,3293251,Inconnu
2020,H1a,Hauts-de-France,Somme,CAGNY,3,3033,626574,Inconnu
2020,H1a,Hauts-de-France,Somme,SAINT QUENTIN LA MOTTE CROIX BAILLY,3,11396,1643930,Electricite
2020,H1a,Grand-Est,Marne,BETHENY,4,22741,1074677,Electricite
2020,H1a,Bretagne,Morbihan,CARENTOIR,4,18588,6379035,Electricite
2020,H1a,Occitanie,Haute-Garonne,TOULOUSE,4,2112,181828,Electricite
2020,H1a,Auvergne-Rhône-Alpes,Rhône,LYON 03,4,11035,887641,Electricite
2020,H1b,Centre-Val de Loire,Loiret,SAINT PERE SUR LOIRE,3,14541,3196270,Inconnu
2020,H1b,Bourgogne-Franche-Comté,Haute-Saône,JUSSEY,3,7462,1661168,Electricite
2020,H1b,Bourgogne-Franche-Comté,Yonne,BLENEAU,3,5801,1377362,Inconnu
2020,H1b,Grand-Est,Marne,CERNAY LES REIMS,3,10064,1083791,Electricite
2020,H1b,Grand-Est,Meurthe-et-Moselle,CONFLANS EN JARNISY,5,6764,841251,Electricite
2020,H1b,Grand-Est,Moselle,REDING,3,3519,226063,Electricite
2020,H1b,Grand-Est,Bas-Rhin,HUTTENHEIM,3,7190,908875,Inconnu
2020,H1b,Grand-Est,Bas-Rhin,KILSTETT,6,583,76835,Electricite
2020,H1b,Grand-Est,Bas-Rhin,LAMPERTHEIM,5,6809,1284240,Electricite
2020,H1b,Grand-Est,Bas-Rhin,NIEDERHAUSBERGEN,4,2160,82290,Electricite
2020,H1b,Grand-Est,Bas-Rhin,OTTERSWILLER,3,1874,123809,Electricite
2020,H1b,Grand-Est,Bas-Rhin,ROPPENHEIM,97,43353,4625494,Electricite
2020,H1b,Occitanie,Tarn,CASTRES,3,4154,763135,Electricite
2020,H1c,Île-de-France,Paris,PARIS 15,3,1581,77664,Electricite
2020,H1c,Île-de-France,Hauts-de-Seine,PUTEAUX,15,152526,2478409,Electricite
2020,H1c,Bourgogne-Franche-Comté,Côte-dOr,EPOISSES,3,2952,384740,Inconnu
2020,H1c,Bourgogne-Franche-Comté,Côte-dOr,FIXIN,3,8605,662477,Inconnu
2020,H1c,Bourgogne-Franche-Comté,Côte-dOr,NEUILLY CRIMOLOIS,3,5661,930095,Inconnu
2020,H1c,Bourgogne-Franche-Comté,Côte-dOr,PERRIGNY LES DIJON,7,31557,7333305,Inconnu
2020,H1c,Bourgogne-Franche-Comté,Doubs,GENEUILLE,3,7732,1192124,Inconnu
2020,H1c,Bourgogne-Franche-Comté,Doubs,HOUTAUD,5,4124,471867,Inconnu
2020,H1c,Bourgogne-Franche-Comté,Saône-et-Loire,VINZELLES,3,3229,568335,Electricite
2020,H1c,Bretagne,Côtes-d'Armor,SAINT BRIEUC,5,21494,600667,Electricite
2020,H1c,Nouvelle-Aquitaine,Creuse,EVAUX LES BAINS,4,14484,1874304,Electricite
2020,H1c,Nouvelle-Aquitaine,Dordogne,TERRASSON LAVILLEDIEU,3,2077,577348,Inconnu
2020,H1c,Nouvelle-Aquitaine,Gironde,LORMONT,3,8290,171129,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Ain,CHAZEY BONS,3,7512,1441679,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Ain,NEYRON,4,2599,157192,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Ain,SAINT ANDRE DE CORCY,9,13590,2109616,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Ain,VONNAS,3,9145,1616159,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Cantal,ANDELAT,7,8215,825774,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Loire,CHAVANAY,3,4508,836810,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Loire,UNIEUX,3,10177,1157770,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Haute-Loire,COHADE,3,7117,1206010,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Puy-de-Dôme,PUY GUILLAUME,3,6910,1798685,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Rhône,SOUZY,3,8550,2537652,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Savoie,BARBERAZ,4,6748,960276,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Savoie,DULLIN,3,1026,48066,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Savoie,LA BRIDOIRE,3,11922,2057596,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Savoie,TOURS EN SAVOIE,3,2786,456587,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,ALLONZIER LA CAILLE,5,11126,989743,Electricite
2020,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,BONNE,5,13414,2775951,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,MARIGNY SAINT MARCEL,3,20479,557070,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,SEYSSEL,3,11854,1833138,Inconnu
2020,H1c,Auvergne-Rhône-Alpes,Haute-Savoie,VIUZ EN SALLAZ,3,10271,1427629,Inconnu
2020,H1c,Provence-Alpes-Côte d'Azur,Hautes-Alpes,LA SAULCE,3,5819,420407,Electricite
2020,H1c,Provence-Alpes-Côte d'Azur,Hautes-Alpes,MONTGENEVRE,3,16952,2215682,Inconnu
2020,H1c,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,AUBAGNE,3,3400,255395,Electricite
2020,H1c,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,MARSEILLE 03,3,553,29524,Electricite
2020,H2a,Normandie,Manche,BARNEVILLE CARTERET,3,5527,1427160,Inconnu
2020,H2a,Normandie,Manche,QUETTREVILLE SUR SIENNE,4,1697,59187,Inconnu
2020,H2a,Normandie,Manche,SOTTEVAST,3,3501,337347,Inconnu
2020,H2a,Normandie,Manche,TOLLEVAST,7,17585,1517811,Electricite
2020,H2a,Normandie,Manche,TREAUVILLE,4,1084,85976,Electricite
2020,H2a,Normandie,Manche,YQUELON,3,6451,373595,Electricite
2020,H2a,Bretagne,Côtes-d'Armor,LE MENE,12,23540,4821802,Inconnu
2020,H2a,Bretagne,Côtes-d'Armor,MATIGNON,3,8958,1968905,Inconnu
2020,H2a,Bretagne,Côtes-d'Armor,PLESTAN,5,21413,3887125,Electricite
2020,H2a,Bretagne,Côtes-d'Armor,SAINT NICOLAS DU PELEM,3,7502,1363812,Inconnu
2020,H2a,Bretagne,Finistère,LANDUDEC,7,4134,1118157,Electricite
2020,H2a,Bretagne,Finistère,LANRIVOARE,3,5375,162638,Electricite
2020,H2a,Bretagne,Finistère,LOCRONAN,3,1950,125835,Electricite
2020,H2a,Bretagne,Finistère,PLUGUFFAN,4,4164,374015,Electricite
2020,H2a,Bretagne,Finistère,SAINT DIVY,3,7356,760060,Inconnu
