annee_consommation,zone_climatique,code_region,nom_region,code_departement,nom_departement,nom_commune,nombre_declaration,surface_declaree,consommation_declaree
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LAGNY SUR MARNE,18,92445,18491801
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE CHATELET EN BRIE,4,8647,1288980
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE MEE SUR SEINE,6,4530,1045801
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LE MESNIL AMELOT,21,132705,26954709
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LIEUSAINT,77,481786,73993284
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LIZY SUR OURCQ,3,6837,1980161
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,LOGNES,39,142130,28801026
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAGNY LE HONGRE,14,105404,30272249
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAREUIL LES MEAUX,11,27717,4999607
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAROLLES SUR SEINE,3,31187,1699838
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MAUREGARD,7,3391,218404
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MEAUX,50,132981,45155138
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MELUN,85,245478,46441924
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MITRY MORY,42,264409,42193634
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOISSY CRAMAYEL,18,188465,16218058
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEREAU FAULT YONNE,47,140370,19462806
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEREAU SUR LE JARD,6,8936,857496
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MONTEVRAIN,17,54891,9139023
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MORET LOING ET ORVANNE,8,25137,5503713
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MORMANT,4,74122,6553501
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOUROUX,13,23560,5451814
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,MOUSSY LE NEUF,5,113092,24054329
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANDY,3,16674,2753105
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANGIS,18,45880,15619713
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NANTEUIL LES MEAUX,9,23678,6618778
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NEMOURS,27,75090,15021118
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,NOISIEL,26,152393,32012620
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,OCQUERRE,3,7574,2810462
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,OZOIR LA FERRIERE,20,56240,7563403
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PERTHES,5,2446,221717
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,POINCY,5,45777,2632540
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PONTAULT COMBAULT,47,101111,23088291
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,PROVINS,48,114075,26341530
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,QUINCY VOISINS,3,21706,1303347
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,REAU,5,242706,17848665
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,ROISSY EN BRIE,37,110347,15666651
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,RUBELLES,5,10877,2064371
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT FARGEAU PONTHIERRY,4,31265,6498917
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT MARD,4,116652,8837158
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT PIERRE LES NEMOURS,6,18710,3585936
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT SOUPPLETS,3,9071,2332769
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAINT THIBAULT DES VIGNES,18,70320,36169043
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAMOREAU,8,14518,2109440
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SAVIGNY LE TEMPLE,43,221767,28964374
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SERRIS,59,183241,45248360
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,SERVON,9,41738,7181750
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,TORCY,44,115588,16176609
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,TOURNAN EN BRIE,3,5954,1163500
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,URY,3,14293,3327645
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VAIRES SUR MARNE,19,35214,5409330
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VARENNES SUR SEINE,16,38945,11293705
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VAUX LE PENIL,18,125517,11470238
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VERT SAINT DENIS,24,184556,16250190
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VILLENOY,3,2372,244282
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VILLEPARISIS,31,107065,19806873
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VILLIERS EN BIERE,20,50277,16929793
Année de référence,H1a,11,Île-de-France,77,Seine-et-Marne,VULAINES SUR SEINE,3,7708,1945028
Année de référence,H1a,11,Île-de-France,78,Yvelines,ABLIS,5,18123,4885000
Année de référence,H1a,11,Île-de-France,78,Yvelines,ACHERES,38,44727,6271223
Année de référence,H1a,11,Île-de-France,78,Yvelines,ANDRESY,15,42463,8988844
Année de référence,H1a,11,Île-de-France,78,Yvelines,AUBERGENVILLE,49,90021,15861870
Année de référence,H1a,11,Île-de-France,78,Yvelines,BAILLY,4,15742,4715961
Année de référence,H1a,11,Île-de-France,78,Yvelines,BEYNES,10,29971,4473193
Année de référence,H1a,11,Île-de-France,78,Yvelines,BOIS D ARCY,4,23602,3819060
Année de référence,H1a,11,Île-de-France,78,Yvelines,BONNIERES SUR SEINE,4,26731,5119628
Année de référence,H1a,11,Île-de-France,78,Yvelines,BOUAFLE,5,3263,688320
Année de référence,H1a,11,Île-de-France,78,Yvelines,BUC,15,46150,7695968
Année de référence,H1a,11,Île-de-France,78,Yvelines,BUCHELAY,28,95076,16572270
Année de référence,H1a,11,Île-de-France,78,Yvelines,CARRIERES SOUS POISSY,17,39051,8118331
Année de référence,H1a,11,Île-de-France,78,Yvelines,CARRIERES SUR SEINE,25,59160,10679330
Année de référence,H1a,11,Île-de-France,78,Yvelines,CERNAY LA VILLE,3,5021,593773
Année de référence,H1a,11,Île-de-France,78,Yvelines,CHAMBOURCY,36,69976,18119377
Année de référence,H1a,11,Île-de-France,78,Yvelines,CHANTELOUP LES VIGNES,16,87954,15088662
Année de référence,H1a,11,Île-de-France,78,Yvelines,CHATOU,38,91386,18359894
Année de référence,H1a,11,Île-de-France,78,Yvelines,CHEVREUSE,3,17959,4677174
Année de référence,H1a,11,Île-de-France,78,Yvelines,COIGNIERES,30,80289,10365999
Année de référence,H1a,11,Île-de-France,78,Yvelines,CONFLANS SAINTE HONORINE,66,171387,34507888
Année de référence,H1a,11,Île-de-France,78,Yvelines,CROISSY SUR SEINE,16,44809,8738903
Année de référence,H1a,11,Île-de-France,78,Yvelines,ECQUEVILLY,23,28896,5491677
Année de référence,H1a,11,Île-de-France,78,Yvelines,ELANCOURT,37,246144,43124886
Année de référence,H1a,11,Île-de-France,78,Yvelines,EPONE,12,23367,3115758
Année de référence,H1a,11,Île-de-France,78,Yvelines,FLINS SUR SEINE,11,28776,9129126
Année de référence,H1a,11,Île-de-France,78,Yvelines,FOLLAINVILLE DENNEMONT,3,1817,251502
Année de référence,H1a,11,Île-de-France,78,Yvelines,FONTENAY LE FLEURY,5,10850,1484036
Année de référence,H1a,11,Île-de-France,78,Yvelines,FONTENAY SAINT PERE,3,1405,190372
Année de référence,H1a,11,Île-de-France,78,Yvelines,GARGENVILLE,3,17140,2355236
Année de référence,H1a,11,Île-de-France,78,Yvelines,GAZERAN,8,12099,1718595
Année de référence,H1a,11,Île-de-France,78,Yvelines,GUYANCOURT,93,803137,149175326
Année de référence,H1a,11,Île-de-France,78,Yvelines,HARDRICOURT,3,6607,2053718
Année de référence,H1a,11,Île-de-France,78,Yvelines,HOUDAN,5,28109,8859595
Année de référence,H1a,11,Île-de-France,78,Yvelines,HOUILLES,7,24868,3975436
Année de référence,H1a,11,Île-de-France,78,Yvelines,ISSOU,11,16284,2487866
Année de référence,H1a,11,Île-de-France,78,Yvelines,JOUARS PONTCHARTRAIN,6,32715,6112416
Année de référence,H1a,11,Île-de-France,78,Yvelines,JOUY EN JOSAS,11,72649,21006427
Année de référence,H1a,11,Île-de-France,78,Yvelines,JUZIERS,4,8027,756390
Année de référence,H1a,11,Île-de-France,78,Yvelines,L ETANG LA VILLE,4,9247,900467
Année de référence,H1a,11,Île-de-France,78,Yvelines,LA CELLE SAINT CLOUD,38,74373,18469857
Année de référence,H1a,11,Île-de-France,78,Yvelines,LA QUEUE LES YVELINES,6,16510,5116450
Année de référence,H1a,11,Île-de-France,78,Yvelines,LA VERRIERE,11,25432,9077184
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE CHESNAY ROCQUENCOURT,61,323749,39164405
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE MESNIL LE ROI,10,15239,3908576
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE MESNIL SAINT DENIS,9,23742,4433311
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE PECQ,29,62275,13629081
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE PERRAY EN YVELINES,12,42490,9154529
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE PORT MARLY,5,29925,3638209
Année de référence,H1a,11,Île-de-France,78,Yvelines,LE VESINET,24,85882,16618741
Année de référence,H1a,11,Île-de-France,78,Yvelines,LES CLAYES SOUS BOIS,32,87177,44719571
Année de référence,H1a,11,Île-de-France,78,Yvelines,LES ESSARTS LE ROI,12,26777,4407660
Année de référence,H1a,11,Île-de-France,78,Yvelines,LES LOGES EN JOSAS,5,11003,1842165
Année de référence,H1a,11,Île-de-France,78,Yvelines,LES MESNULS,4,10541,2216176
Année de référence,H1a,11,Île-de-France,78,Yvelines,LES MUREAUX,82,158743,26908976
Année de référence,H1a,11,Île-de-France,78,Yvelines,LEVIS SAINT NOM,3,2201,315745
Année de référence,H1a,11,Île-de-France,78,Yvelines,LIMAY,24,61445,13145615
Année de référence,H1a,11,Île-de-France,78,Yvelines,LONGNES,4,2274,394572
Année de référence,H1a,11,Île-de-France,78,Yvelines,LOUVECIENNES,10,45548,13369050
Année de référence,H1a,11,Île-de-France,78,Yvelines,MAGNANVILLE,15,59538,12481237
Année de référence,H1a,11,Île-de-France,78,Yvelines,MAGNY LES HAMEAUX,20,62815,45395383
Année de référence,H1a,11,Île-de-France,78,Yvelines,MAISONS LAFFITTE,21,87904,43096833
Année de référence,H1a,11,Île-de-France,78,Yvelines,MANTES LA JOLIE,54,189490,38617294
Année de référence,H1a,11,Île-de-France,78,Yvelines,MANTES LA VILLE,18,55646,17046558
Année de référence,H1a,11,Île-de-France,78,Yvelines,MARLY LE ROI,9,46957,10086230
Année de référence,H1a,11,Île-de-France,78,Yvelines,MAULE,10,26788,4383649
Année de référence,H1a,11,Île-de-France,78,Yvelines,MAULETTE,4,8029,902177
Année de référence,H1a,11,Île-de-France,78,Yvelines,MAUREPAS,64,156543,29708350
Année de référence,H1a,11,Île-de-France,78,Yvelines,MEULAN EN YVELINES,12,52203,13421662
Année de référence,H1a,11,Île-de-France,78,Yvelines,MEZIERES SUR SEINE,11,21628,4900455
Année de référence,H1a,11,Île-de-France,78,Yvelines,MONTESSON,21,88684,20964828
Année de référence,H1a,11,Île-de-France,78,Yvelines,MONTFORT L AMAURY,3,24609,5087994
Année de référence,H1a,11,Île-de-France,78,Yvelines,MONTIGNY LE BRETONNEUX,145,529886,74475619
Année de référence,H1a,11,Île-de-France,78,Yvelines,NOISY LE ROI,3,11821,2106113
Année de référence,H1a,11,Île-de-France,78,Yvelines,ORGERUS,3,8760,5123473
Année de référence,H1a,11,Île-de-France,78,Yvelines,ORGEVAL,18,38332,10567253
Année de référence,H1a,11,Île-de-France,78,Yvelines,PLAISIR,49,267859,71011108
Année de référence,H1a,11,Île-de-France,78,Yvelines,POISSY,69,308205,94981147
Année de référence,H1a,11,Île-de-France,78,Yvelines,PORCHEVILLE,10,18566,5395687
Année de référence,H1a,11,Île-de-France,78,Yvelines,RAMBOUILLET,49,163638,42891741
Année de référence,H1a,11,Île-de-France,78,Yvelines,ROSNY SUR SEINE,16,34227,3530536
Année de référence,H1a,11,Île-de-France,78,Yvelines,SAINT ARNOULT EN YVELINES,5,16313,3297342
Année de référence,H1a,11,Île-de-France,78,Yvelines,SAINT CYR L ECOLE,7,19864,4719794
Année de référence,H1a,11,Île-de-France,78,Yvelines,SAINT GERMAIN EN LAYE,77,352941,82760540
Année de référence,H1a,11,Île-de-France,78,Yvelines,SAINT NOM LA BRETECHE,18,16622,3097447
Année de référence,H1a,11,Île-de-France,78,Yvelines,SAINT REMY LES CHEVREUSE,28,58742,19276220
Année de référence,H1a,11,Île-de-France,78,Yvelines,SARTROUVILLE,43,139196,31754785
Année de référence,H1a,11,Île-de-France,78,Yvelines,TRAPPES,105,431258,86414959
Année de référence,H1a,11,Île-de-France,78,Yvelines,TRIEL SUR SEINE,5,12536,3869132
Année de référence,H1a,11,Île-de-France,78,Yvelines,VELIZY VILLACOUBLAY,112,752917,130987181
Année de référence,H1a,11,Île-de-France,78,Yvelines,VERNEUIL SUR SEINE,8,53451,11177757
Année de référence,H1a,11,Île-de-France,78,Yvelines,VERNOUILLET,14,37445,6082969
Année de référence,H1a,11,Île-de-France,78,Yvelines,VERSAILLES,154,564400,114101202
Année de référence,H1a,11,Île-de-France,78,Yvelines,VILLENNES SUR SEINE,9,18985,2523838
Année de référence,H1a,11,Île-de-France,78,Yvelines,VILLEPREUX,12,28067,4923695
Année de référence,H1a,11,Île-de-France,78,Yvelines,VILLIERS SAINT FREDERIC,6,28929,8428876
Année de référence,H1a,11,Île-de-France,78,Yvelines,VIROFLAY,11,58199,8313642
Année de référence,H1a,11,Île-de-France,78,Yvelines,VOISINS LE BRETONNEUX,17,32148,6335824
Année de référence,H1a,11,Île-de-France,91,Essonne,ARPAJON,5,13171,2176419
Année de référence,H1a,11,Île-de-France,91,Essonne,ATHIS MONS,47,153727,36541679
Année de référence,H1a,11,Île-de-France,91,Essonne,AVRAINVILLE,6,9419,921690
Année de référence,H1a,11,Île-de-France,91,Essonne,BALLAINVILLIERS,9,45911,11935814
Année de référence,H1a,11,Île-de-France,91,Essonne,BALLANCOURT SUR ESSONNE,8,12838,2062416
Année de référence,H1a,11,Île-de-France,91,Essonne,BIEVRES,5,5558,691223
Année de référence,H1a,11,Île-de-France,91,Essonne,BONDOUFLE,13,47696,11411001
Année de référence,H1a,11,Île-de-France,91,Essonne,BOUSSY SAINT ANTOINE,9,43757,14458614
Année de référence,H1a,11,Île-de-France,91,Essonne,BRETIGNY SUR ORGE,74,287102,77408612
Année de référence,H1a,11,Île-de-France,91,Essonne,BREUILLET,12,24962,5840099
Année de référence,H1a,11,Île-de-France,91,Essonne,BRUNOY,42,108735,19142386
Année de référence,H1a,11,Île-de-France,91,Essonne,BURES SUR YVETTE,15,38194,6299634
Année de référence,H1a,11,Île-de-France,91,Essonne,CERNY,3,6082,1001475
Année de référence,H1a,11,Île-de-France,91,Essonne,CHAMARANDE,3,3913,1586548
Année de référence,H1a,11,Île-de-France,91,Essonne,CHILLY MAZARIN,32,184682,45366262
Année de référence,H1a,11,Île-de-France,91,Essonne,CORBEIL ESSONNES,58,124875,28372567
Année de référence,H1a,11,Île-de-France,91,Essonne,CROSNE,4,16867,4401447
Année de référence,H1a,11,Île-de-France,91,Essonne,DOURDAN,19,53113,10909183
Année de référence,H1a,11,Île-de-France,91,Essonne,DRAVEIL,30,99284,33887322
Année de référence,H1a,11,Île-de-France,91,Essonne,EGLY,9,19028,3001824
Année de référence,H1a,11,Île-de-France,91,Essonne,EPINAY SOUS SENART,13,38001,4421336
Année de référence,H1a,11,Île-de-France,91,Essonne,EPINAY SUR ORGE,20,47682,21597913
Année de référence,H1a,11,Île-de-France,91,Essonne,ETAMPES,21,44211,10246268
Année de référence,H1a,11,Île-de-France,91,Essonne,ETIOLLES,6,5611,900576
Année de référence,H1a,11,Île-de-France,91,Essonne,ETRECHY,14,22064,2756166
Année de référence,H1a,11,Île-de-France,91,Essonne,EVRY COURCOURONNES,210,647469,135009120
Année de référence,H1a,11,Île-de-France,91,Essonne,FLEURY MEROGIS,17,114268,18718455
Année de référence,H1a,11,Île-de-France,91,Essonne,FONTENAY LES BRIIS,5,6440,1041372
Année de référence,H1a,11,Île-de-France,91,Essonne,FORGES LES BAINS,4,6866,1221316
Année de référence,H1a,11,Île-de-France,91,Essonne,GIF SUR YVETTE,26,84346,11864619
Année de référence,H1a,11,Île-de-France,91,Essonne,GRIGNY,38,98971,16585682
Année de référence,H1a,11,Île-de-France,91,Essonne,IGNY,17,46213,8431951
Année de référence,H1a,11,Île-de-France,91,Essonne,JUVISY SUR ORGE,30,44080,6958864
Année de référence,H1a,11,Île-de-France,91,Essonne,LA NORVILLE,10,22669,5311467
Année de référence,H1a,11,Île-de-France,91,Essonne,LA VILLE DU BOIS,9,30310,11805802
Année de référence,H1a,11,Île-de-France,91,Essonne,LARDY,10,26348,6144313
Année de référence,H1a,11,Île-de-France,91,Essonne,LE COUDRAY MONTCEAUX,8,114424,10531207
Année de référence,H1a,11,Île-de-France,91,Essonne,LE PLESSIS PATE,4,27137,6975852
Année de référence,H1a,11,Île-de-France,91,Essonne,LES ULIS,75,190759,42286139
Année de référence,H1a,11,Île-de-France,91,Essonne,LEUDEVILLE,8,6748,1607400
Année de référence,H1a,11,Île-de-France,91,Essonne,LIMOURS,10,35300,8892319
Année de référence,H1a,11,Île-de-France,91,Essonne,LINAS,9,6817,1381930
Année de référence,H1a,11,Île-de-France,91,Essonne,LISSES,40,83356,16923024
Année de référence,H1a,11,Île-de-France,91,Essonne,LONGJUMEAU,12,67512,13520373
Année de référence,H1a,11,Île-de-France,91,Essonne,LONGPONT SUR ORGE,6,26891,4302598
Année de référence,H1a,11,Île-de-France,91,Essonne,MARCOUSSIS,8,43020,9167772
Année de référence,H1a,11,Île-de-France,91,Essonne,MAROLLES EN HUREPOIX,3,15591,2026880
Année de référence,H1a,11,Île-de-France,91,Essonne,MASSY,155,592291,108540619
Année de référence,H1a,11,Île-de-France,91,Essonne,MENNECY,12,13490,3064555
Année de référence,H1a,11,Île-de-France,91,Essonne,MILLY LA FORET,3,14759,4007818
Année de référence,H1a,11,Île-de-France,91,Essonne,MONTGERON,17,36626,7858729
Année de référence,H1a,11,Île-de-France,91,Essonne,MONTLHERY,5,20132,3596941
Année de référence,H1a,11,Île-de-France,91,Essonne,MORANGIS,17,67086,15334101
Année de référence,H1a,11,Île-de-France,91,Essonne,MORIGNY CHAMPIGNY,6,39516,6075093
Année de référence,H1a,11,Île-de-France,91,Essonne,MORSANG SUR ORGE,5,12186,3360081
Année de référence,H1a,11,Île-de-France,91,Essonne,ORMOY,7,15371,14380408
Année de référence,H1a,11,Île-de-France,91,Essonne,ORSAY,25,65426,20374286
Année de référence,H1a,11,Île-de-France,91,Essonne,PALAISEAU,47,414859,93458580
Année de référence,H1a,11,Île-de-France,91,Essonne,PARAY VIEILLE POSTE,19,39320,8740223
Année de référence,H1a,11,Île-de-France,91,Essonne,QUINCY SOUS SENART,7,37235,10209789
Année de référence,H1a,11,Île-de-France,91,Essonne,RIS ORANGIS,14,30083,8312165
Année de référence,H1a,11,Île-de-France,91,Essonne,SAINT AUBIN,17,16145,2423327
Année de référence,H1a,11,Île-de-France,91,Essonne,SAINT GERMAIN LES ARPAJON,6,60790,14261267
Année de référence,H1a,11,Île-de-France,91,Essonne,SAINT JEAN DE BEAUREGARD,3,482,132809
Année de référence,H1a,11,Île-de-France,91,Essonne,SAINT MICHEL SUR ORGE,14,97983,11592701
Année de référence,H1a,11,Île-de-France,91,Essonne,SAINT PIERRE DU PERRAY,7,21842,5672138
Année de référence,H1a,11,Île-de-France,91,Essonne,SAINTE GENEVIEVE DES BOIS,48,116827,25993124
Année de référence,H1a,11,Île-de-France,91,Essonne,SAULX LES CHARTREUX,6,12911,2630868
Année de référence,H1a,11,Île-de-France,91,Essonne,SAVIGNY SUR ORGE,23,66019,9469968
Année de référence,H1a,11,Île-de-France,91,Essonne,SOISY SUR ECOLE,5,1473,408551
Année de référence,H1a,11,Île-de-France,91,Essonne,SOISY SUR SEINE,6,24513,3248269
Année de référence,H1a,11,Île-de-France,91,Essonne,TIGERY,6,43312,6931538
Année de référence,H1a,11,Île-de-France,91,Essonne,VARENNES JARCY,3,3302,524283
Année de référence,H1a,11,Île-de-France,91,Essonne,VAUHALLAN,3,5243,858106
